subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
FLUXO_0000151	amount	skos:narrowMatch	http://purl.obolibrary.org/obo/PATO_0000070	amount	semapv:LexicalMatching	    		
FLUXO_0000163	metabolite uptake flux	skos:exactMatch	http://purl.obolibrary.org/obo/MSIO_0000153	metabolite uptake flux	semapv:LexicalMatching
FLUXO_0000164	metabolite excretion flux	skos:exactMatch	http://purl.obolibrary.org/obo/MSIO_0000152	metabolite excretion flux	semapv:LexicalMatching
FLUXO_0000166	chemical reaction	skos:exactMatch	http://purl.obolibrary.org/obo/MSIO_0000001	chemical reaction	semapv:LexicalMatching
FLUXO_0000170	molecule	skos:exactMatch	http://purl.obolibrary.org/obo/CHEBI_25367	molecule	semapv:LexicalMatching
FLUXO_0000171	molecular entity	skos:exactMatch	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity	semapv:LexicalMatching
FLUXO_0000172	metabolite	skos:exactMatch	http://purl.obolibrary.org/obo/CHEBI_25212	metabolite	semapv:LexicalMatching
FLUXO_0000177	steady state	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C151966	Steady-State	
FLUXO_0000178	Experimental design and studies	skos:exactMatch	http://edamontology.org/topic_3678	Experimental design and studies	semapv:LexicalMatching
FLUXO_0000181	organism	skos:exactMatch	http://purl.uniprot.org/core/organism		
FLUXO_0000182	strain	skos:exactMatch	http://purl.uniprot.org/core/strain		
FLUXO_0000184	culture medium	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0000079	culture medium	semapv:LexicalMatching
FLUXO_0000185	device	skos:exactMatch	http://purl.obolibrary.org/obo/COB_0001300	device	semapv:LexicalMatching
FLUXO_0000186	mass spectrometer	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0000049	mass spectrometer	semapv:LexicalMatching
FLUXO_0000187	NMR instrument	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0000566	NMR instrument	semapv:LexicalMatching
FLUXO_0000188	metabolomics	skos:exactMatch	http://edamontology.org/topic_3172	Metabolomics	semapv:LexicalMatching
FLUXO_0000189	proteomics	skos:exactMatch	http://edamontology.org/topic_0121	Proteomics	semapv:LexicalMatching
FLUXO_0000190	mass spectrometry	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000470	mass spectrometry	semapv:LexicalMatching
FLUXO_0000191	liquid chromatography-mass spectrometry	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000524	liquid chromatography-mass spectrometry	semapv:LexicalMatching
FLUXO_0000192	gas chromatography-mass spectrometry	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000497	gas chromatography-mass spectrometry	semapv:LexicalMatching
FLUXO_0000193	tandem mass spectrometry	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000575	tandem mass spectrometry	semapv:LexicalMatching
FLUXO_0000194	isotope ratio mass spectrometry	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000506	isotope ratio mass spectrometry	semapv:LexicalMatching
FLUXO_0000195	nuclear magnetic resonance	skos:exactMatch	http://purl.obolibrary.org/obo/CHMO_0000591	nuclear magnetic resonance spectroscopy	
FLUXO_0000196	Isotope Natural Abundance Correction	skos:exactMatch	http://purl.obolibrary.org/obo/MSIO_0000130	isotope natural abundance correction	semapv:LexicalMatching
FLUXO_0000197	concentration	skos:exactMatch	http://purl.obolibrary.org/obo/STATO_0000704	concentration	semapv:LexicalMatching
FLUXO_0000198	systems biology representation	skos:exactMatch	http://biomodels.net/SBO/SBO_0000000	systems biology representation	semapv:LexicalMatching
FLUXO_0000199	chemical formula	skos:exactMatch	http://edamontology.org/data_0846	Chemical formula	semapv:LexicalMatching
FLUXO_0000200	molecular charge	skos:exactMatch	http://edamontology.org/data_0845	Molecular charge	semapv:LexicalMatching
FLUXO_0000201	demand reaction	skos:exactMatch	http://biomodels.net/SBO/SBO_0000628	demand reaction	semapv:LexicalMatching
FLUXO_0000202	exchange reaction	skos:exactMatch	http://biomodels.net/SBO/SBO_0000627	exchange reaction	semapv:LexicalMatching
FLUXO_0000203	sink reaction	skos:exactMatch	http://biomodels.net/SBO/SBO_0000632	sink reaction	semapv:LexicalMatching
FLUXO_0000204	reaction stoichiometry	skos:exactMatch	http://purl.obolibrary.org/obo/NCIT_C18110	Stoichiometry	
FLUXO_0000205	stoichiometric coefficient	skos:exactMatch	http://purl.obolibrary.org/obo/MSIO_0000060	stoichiometric coefficient	semapv:LexicalMatching
FLUXO_0000206	flux bound	skos:exactMatch	http://biomodels.net/SBO/SBO_0000625	flux bound	semapv:LexicalMatching
FLUXO_0000207	statistic	skos:exactMatch	http://purl.obolibrary.org/obo/STATO_0000039	statistic	semapv:LexicalMatching
FLUXO_0000208	standard deviation	skos:exactMatch	http://purl.obolibrary.org/obo/STATO_0000237	Standard deviation	semapv:LexicalMatching
FLUXO_0000209	confidence interval	skos:exactMatch	http://purl.obolibrary.org/obo/STATO_0000196	Confidence interval	semapv:LexicalMatching
FLUXO_0000211	statistical test hypothesis	skos:exactMatch	http://purl.obolibrary.org/obo/OBI_0000673	statistical hypothesis test	
